season,week,manager,pts,IP,H,ER,BB,K,QS,SV+H,ERA,WHIP,K_per_IP
2021,6,Rouse,174.16,50.66,55,20,11,59,6,1,3.553099092,1.302803,1.164626925
2021,6,Dave,173.33,55.31,51,29,19,61,3,4,4.718857349,1.265593925,1.102874706
2021,7,Boyce,233.91,56.66,38,10,13,70,7,3,1.588422167,0.900105895,1.235439463
2021,7,Ulmer,161.75,49.98,42,27,17,52,4,4,4.861944778,1.180472189,1.040416166
2021,7,Garth,115.67,37.66,27,13,17,37,2,1,3.106744557,1.16834838,0.982474774
2021,7,Chris,266.92,72.65,45,23,16,85,7,3,2.849277357,0.83964212,1.169993118
2021,7,Andy,129.34,45.32,59,31,15,46,2,5,6.156222418,1.632833186,1.015004413
2021,7,Sam,125.5,43.97,47,23,13,30,3,4,4.707755288,1.36456675,0.682283375
2021,7,Howard,127.59,47.32,49,25,16,43,3,1,4.754860524,1.373626374,0.908706678
2021,7,Rich,152.91,41.66,33,15,18,54,3,3,3.240518483,1.224195871,1.296207393
2021,7,Rouse,196,49.98,36,14,12,69,6,1,2.521008403,0.960384154,1.380552221
2021,7,Dave,176.92,51.64,48,24,21,56,5,4,4.182804028,1.336173509,1.084430674
2021,8,Boyce,219.26,59.98,39,16,16,67,7,1,2.400800267,0.916972324,1.117039013
2021,8,Ulmer,201.42,52.64,26,7,17,61,3,3,1.196808511,0.816869301,1.15881459
2021,8,Garth,141.75,39,25,12,14,42,4,2,2.769230769,1,1.076923077
2021,8,Chris,210.09,67.31,55,28,22,78,4,1,3.743871639,1.143960778,1.158817412
2021,8,Andy,140.51,42.98,31,10,13,39,2,2,2.093997208,1.023731968,0.90739879
2021,8,Sam,99,37.99,41,25,13,35,2,2,5.922611213,1.421426691,0.921295078
2021,8,Howard,245.59,72.32,59,30,18,84,5,4,3.73340708,1.064712389,1.161504425
2021,8,Rich,126.67,35.66,31,12,11,41,2,3,3.028603477,1.177790241,1.149747616
2021,8,Rouse,230.01,67.98,47,24,21,73,6,2,3.177405119,1.000294204,1.073845249
2021,8,Dave,185.84,53.32,32,10,18,45,4,3,1.68792198,0.937734434,0.84396099
2021,9,Boyce,252.75,71.98,58,23,21,82,9,0,2.875798833,1.097527091,1.139205335
2021,9,Ulmer,161.42,48.64,45,20,12,59,2,3,3.700657895,1.171875,1.212993421
2021,9,Garth,132.49,43.99,43,22,15,45,2,3,4.50102296,1.318481473,1.022959764
2021,9,Chris,159.5,50,51,21,9,61,3,1,3.78,1.2,1.22
2021,9,Andy,117.49,46.99,47,24,13,31,1,3,4.596722707,1.276867419,0.659714833
2021,9,Sam,114.24,37.97,41,26,14,32,3,5,6.162760074,1.448511983,0.842770608
2021,9,Howard,164.17,50.65,35,21,17,52,4,2,3.731490622,1.026653504,1.026653504
2021,9,Rich,154.58,39.33,26,14,13,57,3,3,3.203661327,0.991609458,1.449275362
2021,9,Rouse,176,50.99,41,21,11,63,5,1,3.706609139,1.019807805,1.23553638
2021,9,Dave,204.25,62.99,69,26,12,61,5,4,3.714875377,1.2859184,0.968407684
2021,10,Boyce,215.24,65.99,64,29,21,85,6,0,3.955144719,1.288073951,1.288073951
2021,10,Ulmer,135.25,37.98,25,14,10,40,3,3,3.317535545,0.921537651,1.053185887
2021,10,Garth,177.91,47.66,32,11,19,43,4,5,2.077213596,1.070079731,0.902224087
2021,10,Chris,177.17,53.65,48,23,14,63,6,0,3.8583411,1.155638397,1.174277726
2021,10,Andy,78.42,34.64,45,31,14,33,3,1,8.054272517,1.703233256,0.952655889
2021,10,Sam,104.59,31.32,22,6,5,22,3,1,1.724137931,0.862068966,0.702426564
2021,10,Howard,155.17,45.65,46,17,12,51,4,2,3.351588171,1.270536692,1.117196057
2021,10,Rich,149.42,35.66,20,11,9,44,3,5,2.776219854,0.813236119,1.233875491
2021,10,Rouse,154.92,45.66,38,18,15,56,3,2,3.547963206,1.160753395,1.226456417
2021,10,Dave,183.09,56.32,44,18,15,59,5,0,2.876420455,1.047585227,1.047585227
2021,11,Boyce,198.91,62.66,49,21,24,67,5,0,3.016278327,1.165017555,1.069262688
2021,11,Ulmer,107.91,29.66,23,15,8,39,2,3,4.551584626,1.045178692,1.314902225
2021,11,Garth,209.08,61.3,47,22,14,64,5,3,3.230016313,0.995106036,1.044045677
2021,11,Chris,216.17,72.64,71,25,25,66,6,0,3.09746696,1.321585903,0.908590308
2021,11,Andy,175.67,41.66,34,12,8,40,3,9,2.592414786,1.008161306,0.960153625
2021,11,Sam,150.75,44.99,43,27,18,59,1,6,5.401200267,1.355856857,1.311402534
2021,11,Howard,107.83,40.33,55,28,9,50,1,2,6.248450285,1.586908009,1.239771882
2021,11,Rich,141.59,39.32,24,9,9,45,4,0,2.060020346,0.839267548,1.144455748
2021,11,Rouse,173.24,50.99,45,15,18,49,5,2,2.647577956,1.23553638,0.96097274
2021,11,Dave,147.91,45.65,41,24,12,38,4,5,4.731653888,1.161007667,0.832420591
2021,12,Boyce,174.17,50.66,32,16,22,60,5,0,2.842479274,1.065929728,1.184366364
2021,12,Ulmer,142.75,39.99,33,14,12,55,4,0,3.150787697,1.12528132,1.375343836
2021,12,Garth,155,40.99,22,12,16,50,3,3,2.634788973,0.927055379,1.21980971
2021,12,Chris,258.83,71.32,54,21,18,90,8,0,2.650028043,1.009534492,1.261918116
2021,12,Andy,170.66,57.65,55,29,17,58,5,1,4.527320035,1.248915872,1.006071119
2021,12,Sam,138.16,38.66,39,15,9,46,2,4,3.491981376,1.241593378,1.189860321
2021,12,Howard,180.01,47.98,33,12,15,50,5,3,2.250937891,1.00041684,1.042100875
2021,12,Rich,202.25,53.99,44,16,15,61,4,5,2.667160585,1.092794962,1.129838859
2021,12,Rouse,180.33,45.32,34,10,14,59,3,4,1.985878199,1.05913504,1.301853486
2021,12,Dave,155.67,46.65,40,13,14,37,4,3,2.508038585,1.15755627,0.793140407
2021,13,Boyce,227.17,67.66,62,32,22,82,6,3,4.256577003,1.241501626,1.211942063
2021,13,Ulmer,112.42,34.66,38,14,15,35,1,4,3.635314484,1.529140219,1.009809579
2021,13,Garth,186.34,52.3,33,17,23,60,4,3,2.92543021,1.070745698,1.147227533
2021,13,Chris,134.42,54.66,55,34,18,52,3,0,5.598243688,1.335528723,0.951335529
2021,13,Andy,146.51,52.97,46,27,20,46,3,2,4.58750236,1.245988295,0.868416085
2021,13,Sam,165.5,49.99,34,21,18,40,5,4,3.780756151,1.040208042,0.800160032
2021,13,Howard,165.25,50.99,46,26,19,53,4,4,4.589135125,1.274759757,1.039419494
2021,13,Rich,91.83,30.32,33,21,17,40,2,2,6.233509235,1.649076517,1.319261214
2021,13,Rouse,153.34,52.3,49,26,21,54,4,1,4.47418738,1.338432122,1.03250478
2021,13,Dave,217.75,58.99,45,17,20,67,8,1,2.593659942,1.101881675,1.135785726
2021,14,Boyce,221.42,58.66,37,13,10,71,7,0,1.994544835,0.801227412,1.210364814
2021,14,Ulmer,151.08,51.32,48,25,19,52,4,1,4.384255651,1.305533905,1.013250195
2021,14,Garth,188.5,51.99,34,17,18,62,4,3,2.94287363,1.000192345,1.192537026
2021,14,Chris,135.99,49.98,54,23,12,57,1,0,4.141656663,1.320528211,1.140456182
2021,14,Andy,140.75,46.99,44,21,13,49,3,1,4.022132369,1.213024048,1.042775059
2021,14,Sam,153.16,48.66,60,28,18,48,3,6,5.178791615,1.602959309,0.986436498
