season,week,team_id,week_type,playoffs,hitting_points,pitching_points,team_points,manager
2021,11,4,normal,0,205.5,216.17000000000002,421.67,Chris
2021,11,5,normal,0,245.5,175.67000000000002,421.17,Andy
2021,11,6,normal,0,252.0,150.75,402.75,Sam
2021,11,7,normal,0,291.0,107.83,398.83,Howard
2021,11,8,normal,0,197.5,141.59,339.09000000000003,Rich
2021,11,9,normal,0,226.5,173.24,399.74,Rouse
2021,11,10,normal,0,234.5,147.91,382.40999999999997,Dave
2021,12,1,normal,0,225.0,174.17000000000002,399.17,Boyce
2021,12,2,normal,0,216.5,142.75,359.25,Alex
2021,12,3,normal,0,213.5,155.0,368.5,Garth
2021,12,4,normal,0,211.0,258.83,469.83,Chris
2021,12,5,normal,0,241.5,170.66,412.15999999999997,Andy
2021,12,6,normal,0,240.0,138.16,378.15999999999997,Sam
2021,12,7,normal,0,206.0,180.01,386.01,Howard
2021,12,8,normal,0,185.5,202.25,387.75,Rich
2021,12,9,normal,0,211.0,180.32999999999998,391.33,Rouse
2021,12,10,normal,0,206.0,155.67000000000002,361.67,Dave
2021,13,1,normal,0,262.5,227.17000000000002,489.67,Boyce
2021,13,2,normal,0,284.0,112.42,396.42,Alex
2021,13,3,normal,0,282.5,186.34,468.84000000000003,Garth
2021,13,4,normal,0,222.5,134.42000000000002,356.92,Chris
2021,13,5,normal,0,185.0,146.51,331.51,Andy
2021,13,6,normal,0,201.5,165.5,367.0,Sam
2021,13,7,normal,0,269.0,165.25,434.25,Howard
2021,13,8,normal,0,204.5,91.83,296.33,Rich
2021,13,9,normal,0,263.5,153.34,416.84000000000003,Rouse
2021,13,10,normal,0,216.0,217.75,433.75,Dave
2021,14,1,normal,0,254.5,221.42000000000002,475.92,Boyce
2021,14,2,normal,0,238.0,151.07999999999998,389.08,Alex
2021,14,3,normal,0,207.0,188.5,395.5,Garth
2021,14,4,normal,0,232.0,135.99,367.99,Chris
2021,14,5,normal,0,245.5,140.75,386.25,Andy
2021,14,6,normal,0,237.0,153.16,390.15999999999997,Sam
2021,14,7,normal,0,232.5,141.92000000000002,374.42,Howard
2021,14,8,normal,0,228.0,184.16,412.15999999999997,Rich
2021,14,9,normal,0,198.5,175.34,373.84000000000003,Rouse
2021,14,10,normal,0,236.0,130.41,366.40999999999997,Dave
2021,15,1,long,0,318.5,275.83,594.3299999999999,Boyce
2021,15,2,long,0,340.0,203.91,543.91,Alex
2021,15,3,long,0,353.5,202.32999999999998,555.8299999999999,Garth
2021,15,4,long,0,381.5,268.18,649.6800000000001,Chris
2021,15,5,long,0,306.5,251.16,557.66,Andy
2021,15,6,long,0,372.0,243.32999999999998,615.3299999999999,Sam
2021,15,7,long,0,310.0,202.01,512.01,Howard
2021,15,8,long,0,263.5,164.42000000000002,427.92,Rich
2021,15,9,long,0,372.0,268.40999999999997,640.41,Rouse
2021,15,10,long,0,362.0,211.57999999999998,573.5799999999999,Dave
2021,16,1,normal,0,197.0,186.75,383.75,Boyce
2021,16,2,normal,0,269.5,140.5,410.0,Alex
2021,16,3,normal,0,186.5,179.17000000000002,365.67,Garth
2021,16,4,normal,0,241.5,162.92000000000002,404.42,Chris
2021,16,5,normal,0,169.0,147.25,316.25,Andy
2021,16,6,normal,0,261.5,178.99,440.49,Sam
2021,16,7,normal,0,215.0,157.57,372.57,Howard
2021,16,8,normal,0,133.5,105.75,239.25,Rich
2021,16,9,normal,0,249.5,116.66,366.15999999999997,Rouse
2021,16,10,normal,0,189.5,202.5,392.0,Dave
2021,17,1,normal,0,284.5,182.07999999999998,466.58,Boyce
2021,17,2,normal,0,211.5,202.84,414.34000000000003,Alex
2021,17,3,normal,0,247.0,198.67000000000002,445.67,Garth
2021,17,4,normal,0,228.0,77.0,305.0,Chris
2021,17,5,normal,0,192.0,146.08,338.08000000000004,Andy
2021,17,6,normal,0,199.0,154.0,353.0,Sam
2021,17,7,normal,0,248.5,198.66,447.15999999999997,Howard
2021,17,8,normal,0,153.0,91.59,244.59,Rich
2021,17,9,normal,0,279.5,231.99,511.49,Rouse
2021,17,10,normal,0,273.5,188.92,462.41999999999996,Dave
2021,18,1,normal,0,222.0,123.33,345.33,Boyce
2021,18,2,normal,0,261.0,101.83,362.83,Alex
2021,18,3,normal,0,242.5,158.42000000000002,400.92,Garth
2021,18,4,normal,0,253.5,186.82999999999998,440.33,Chris
2021,18,5,normal,0,243.0,158.16,401.15999999999997,Andy
2021,18,6,normal,0,264.0,96.75,360.75,Sam
2021,18,7,normal,0,201.0,120.33,321.33,Howard
2021,18,8,normal,0,143.5,72.83,216.32999999999998,Rich
2021,18,9,normal,0,274.0,181.17000000000002,455.17,Rouse
2021,18,10,normal,0,255.5,167.5,423.0,Dave
2021,19,1,normal,0,263.0,194.51,457.51,Boyce
2021,19,2,normal,0,207.5,141.5,349.0,Alex
2021,19,3,normal,0,246.5,161.09,407.59000000000003,Garth
2021,19,4,normal,0,228.5,162.01,390.51,Chris
2021,19,5,normal,0,171.5,143.42,314.91999999999996,Andy
2021,19,6,normal,0,246.0,194.83,440.83000000000004,Sam
2021,19,7,normal,0,233.0,146.59,379.59000000000003,Howard
2021,19,8,normal,0,204.5,157.67000000000002,362.17,Rich
2021,19,9,normal,0,216.0,182.43,398.43,Rouse
2021,19,10,normal,0,221.5,196.57999999999998,418.08,Dave
2021,20,1,normal,0,229.0,168.5,397.5,Boyce
2021,20,2,normal,0,261.0,225.42000000000002,486.42,Alex
2021,20,3,normal,0,146.5,124.34,270.84000000000003,Garth
2021,20,4,normal,0,172.5,217.92,390.41999999999996,Chris
2021,20,5,normal,0,196.5,146.51,343.01,Andy
2021,20,6,normal,0,169.5,159.91,329.40999999999997,Sam
2021,20,7,normal,0,285.0,168.18,453.18,Howard
2021,20,8,normal,0,112.0,125.5,237.5,Rich
2021,20,9,normal,0,269.5,122.91,392.40999999999997,Rouse
2021,20,10,normal,0,254.5,182.5,437.0,Dave
2021,21,1,normal,0,242.0,167.42000000000002,409.42,Boyce
2021,21,2,normal,0,228.5,122.42,350.92,Alex
2021,21,3,normal,0,261.5,175.0,436.5,Garth
2021,21,4,normal,0,314.5,177.66,492.15999999999997,Chris
2021,21,5,normal,0,281.0,139.84,420.84000000000003,Andy
2021,21,6,normal,0,275.0,86.49,361.49,Sam
2021,21,7,normal,0,260.5,106.09,366.59000000000003,Howard
2021,21,8,normal,0,161.0,147.17000000000002,308.17,Rich
2021,21,9,normal,0,204.0,113.25,317.25,Rouse
2021,21,10,normal,0,213.0,129.07999999999998,342.08,Dave
2021,22,1,normal,0,278.5,185.99,464.49,Boyce
2021,22,2,normal,0,268.5,180.17000000000002,448.67,Alex
2021,22,3,normal,0,234.5,187.92000000000002,422.42,Garth
2021,22,4,normal,0,251.0,195.91,446.90999999999997,Chris
2021,22,5,normal,0,289.0,102.26,391.26,Andy
2021,22,6,normal,0,209.0,141.09,350.09000000000003,Sam
2021,22,7,normal,0,252.5,211.42000000000002,463.92,Howard
2021,22,8,normal,0,133.5,69.92,203.42000000000002,Rich
2021,22,9,normal,0,274.0,176.67000000000002,450.67,Rouse
2021,22,10,normal,0,207.0,180.09,387.09000000000003,Dave
2021,23,1,normal,1,200.5,92.33,292.83,Boyce
2021,23,2,normal,1,265.5,207.0,472.5,Alex
2021,23,3,normal,1,247.5,146.0,393.5,Garth
2021,23,4,normal,1,164.5,177.17,341.66999999999996,Chris
2021,23,5,normal,1,237.0,174.93,411.93,Andy
2021,23,6,normal,1,251.0,161.01,412.01,Sam
2021,23,7,normal,1,258.5,150.67000000000002,409.17,Howard
2021,23,8,normal,1,126.0,127.08,253.07999999999998,Rich
2021,23,9,normal,1,182.5,116.16,298.65999999999997,Rouse
2021,23,10,normal,1,215.0,165.17000000000002,380.17,Dave
2021,24,1,normal,1,245.5,185.76,431.26,Boyce
2021,24,2,normal,1,211.5,206.66,418.15999999999997,Alex
2021,24,3,normal,1,196.0,120.5,316.5,Garth
2021,24,4,normal,1,229.5,139.34,368.84000000000003,Chris
2021,24,5,normal,1,202.0,144.16,346.15999999999997,Andy
2021,24,6,normal,1,336.0,132.01,468.01,Sam
2021,24,7,normal,1,218.0,224.67000000000002,442.67,Howard
2021,24,8,normal,1,152.0,105.58,257.58,Rich
2021,24,9,normal,1,286.0,142.75,428.75,Rouse
2021,24,10,normal,1,241.5,142.17000000000002,383.67,Dave
2022,1,1,long,0,403.0,268.33,671.3299999999999,Boyce
2022,1,2,long,0,358.5,185.26,543.76,Alex
2022,1,3,long,0,333.5,182.17000000000002,515.6700000000001,Garth
2022,1,4,long,0,306.5,204.25,510.75,Chris
2022,1,5,long,0,334.5,214.91,549.41,Andy
2022,1,6,long,0,294.0,191.39999999999998,485.4,Sam
2022,1,7,long,0,269.5,220.17,489.66999999999996,Howard
2022,1,8,long,0,314.5,224.57999999999998,539.0799999999999,Rich
2022,1,9,long,0,326.0,237.09,563.09,Rouse
2022,1,10,long,0,256.0,300.58,556.5799999999999,Dave
2022,2,1,normal,0,156.0,161.07999999999998,317.08,Boyce
2022,2,2,normal,0,232.0,171.25,403.25,Alex
2022,2,3,normal,0,150.5,168.49,318.99,Garth
2022,2,4,normal,0,134.5,149.32,283.82,Chris
2022,2,5,normal,0,190.0,148.91,338.90999999999997,Andy
2022,2,6,normal,0,179.0,156.26,335.26,Sam
2022,2,7,normal,0,199.0,158.82,357.82,Howard
2022,2,8,normal,0,186.5,212.92000000000002,399.42,Rich
2022,2,9,normal,0,235.0,194.17,429.16999999999996,Rouse
2022,2,10,normal,0,197.5,171.82,369.32,Dave
2022,3,1,normal,0,251.5,195.42000000000002,446.92,Boyce
2022,3,2,normal,0,221.0,204.92000000000002,425.92,Alex
2022,3,3,normal,0,190.5,212.24,402.74,Garth
2022,3,4,normal,0,257.0,304.33,561.3299999999999,Chris
2022,3,5,normal,0,240.0,129.25,369.25,Andy
2022,3,6,normal,0,197.0,126.26,323.26,Sam
2022,3,7,normal,0,226.0,227.59,453.59000000000003,Howard
2022,3,8,normal,0,174.0,180.92000000000002,354.92,Rich
2022,3,9,normal,0,158.5,225.67000000000002,384.17,Rouse
2022,3,10,normal,0,170.5,214.5,385.0,Dave
2022,4,1,normal,0,238.5,181.32999999999998,419.83,Boyce
2022,4,2,normal,0,202.0,210.91,412.90999999999997,Alex
2022,4,3,normal,0,208.0,156.84,364.84000000000003,Garth
2022,4,4,normal,0,156.5,153.17000000000002,309.67,Chris
2022,4,5,normal,0,165.5,168.41,333.90999999999997,Andy
2022,4,6,normal,0,160.5,187.59,348.09000000000003,Sam
2022,4,7,normal,0,205.0,156.93,361.93,Howard
2022,4,8,normal,0,217.0,169.67000000000002,386.67,Rich
2022,4,9,normal,0,183.5,187.25,370.75,Rouse
2022,4,10,normal,0,180.5,134.17000000000002,314.67,Dave
2022,5,1,normal,0,266.0,246.25,512.25,Boyce
2022,5,2,normal,0,247.0,97.24,344.24,Alex
2022,5,3,normal,0,303.5,189.32999999999998,492.83,Garth
2022,5,4,normal,0,211.5,165.66,377.15999999999997,Chris
2022,5,5,normal,0,196.0,117.42,313.42,Andy
2022,5,6,normal,0,242.5,108.34,350.84000000000003,Sam
2022,5,7,normal,0,228.0,168.07999999999998,396.08,Howard
2022,5,8,normal,0,190.5,147.66,338.15999999999997,Rich
2022,5,9,normal,0,160.0,176.07999999999998,336.08,Rouse
2022,5,10,normal,0,195.5,210.34,405.84000000000003,Dave
2022,6,1,normal,0,215.0,186.5,401.5,Boyce
2022,6,2,normal,0,275.5,137.17000000000002,412.67,Alex
2022,6,3,normal,0,178.0,154.07999999999998,332.08,Garth
2022,6,4,normal,0,222.0,181.66,403.65999999999997,Chris
2022,6,5,normal,0,216.5,188.5,405.0,Andy
2022,6,6,normal,0,193.0,83.49,276.49,Sam
2022,6,7,normal,0,254.0,110.58,364.58,Howard
2022,6,8,normal,0,149.0,171.09,320.09000000000003,Rich
2022,6,9,normal,0,235.5,187.25,422.75,Rouse
2022,6,10,normal,0,175.0,275.75,450.75,Dave
2022,7,1,normal,0,245.0,136.5,381.5,Boyce
2022,7,2,normal,0,214.0,96.84,310.84000000000003,Alex
2022,7,3,normal,0,245.0,212.0,457.0,Garth
2022,7,4,normal,0,236.5,212.57999999999998,449.08,Chris
2022,7,5,normal,0,298.0,100.74,398.74,Andy
2022,7,6,normal,0,189.5,173.34,362.84000000000003,Sam
2022,7,7,normal,0,233.0,151.0,384.0,Howard
2022,7,8,normal,0,98.0,202.33,300.33000000000004,Rich
2022,7,9,normal,0,223.5,241.92000000000002,465.42,Rouse
2022,7,10,normal,0,212.0,221.75,433.75,Dave
2022,8,1,normal,0,196.0,190.25,386.25,Boyce
2022,8,2,normal,0,276.5,131.67,408.16999999999996,Alex
2022,8,3,normal,0,188.5,127.58,316.08,Garth
2022,8,4,normal,0,239.5,201.42000000000002,440.92,Chris
2022,8,5,normal,0,276.5,191.08,467.58000000000004,Andy
2022,8,6,normal,0,280.0,196.57999999999998,476.58,Sam
2022,8,7,normal,0,292.5,209.82999999999998,502.33,Howard
2022,8,8,normal,0,154.5,214.67000000000002,369.17,Rich
2022,8,9,normal,0,220.0,124.09,344.09000000000003,Rouse
2022,8,10,normal,0,261.5,271.09000000000003,532.59,Dave
2022,9,1,normal,0,221.0,190.84,411.84000000000003,Boyce
2022,9,2,normal,0,253.0,152.84,405.84000000000003,Alex
2022,9,3,normal,0,245.0,157.08,402.08000000000004,Garth
2022,9,4,normal,0,265.0,190.67000000000002,455.67,Chris
2022,9,5,normal,0,244.5,107.42,351.92,Andy
2022,9,6,normal,0,246.5,132.16,378.65999999999997,Sam
2022,9,7,normal,0,274.0,110.66,384.65999999999997,Howard
2022,9,8,normal,0,229.5,150.49,379.99,Rich
2022,9,9,normal,0,265.5,191.91,457.40999999999997,Rouse
2022,9,10,normal,0,186.5,192.24,378.74,Dave
2022,10,1,normal,0,200.0,185.5,385.5,Boyce
2022,10,2,normal,0,271.0,174.0,445.0,Alex
2022,10,3,normal,0,187.5,192.5,380.0,Garth
2022,10,4,normal,0,230.5,161.49,391.99,Chris
2022,10,5,normal,0,243.0,154.25,397.25,Andy
2022,10,6,normal,0,294.0,200.48999999999998,494.49,Sam
2022,10,7,normal,0,268.0,184.07999999999998,452.08,Howard
2022,10,8,normal,0,192.5,184.25,376.75,Rich
2022,10,9,normal,0,179.0,182.67000000000002,361.67,Rouse
